                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.1601,                    0.5,                      1,                0.06498,                 0.0937,                 0.0007,                 0.0007
                      1,                0.14414,                    0.5,                      1,                0.06501,               0.086493,              0.0014926,              0.0014926
                      2,                0.12372,                    0.5,                      1,                0.06516,               0.079277,              0.0022772,              0.0022772
                      3,                0.11669,                    0.5,                      1,                0.06571,               0.072054,               0.003054,               0.003054
                      4,                0.10233,                    0.5,                      1,                0.06672,               0.064823,              0.0038228,              0.0038228
                      5,                0.08619,                    0.5,                      1,                0.06715,               0.057584,              0.0045837,              0.0045837
                      6,                0.07553,                0.66667,                      1,                0.06143,               0.050337,              0.0053367,              0.0053367
                      7,                0.06291,                0.66667,                      1,                0.05771,               0.043082,              0.0060817,              0.0060817
                      8,                0.05812,                0.66667,                      1,                0.05455,               0.035819,              0.0068188,              0.0068188
                      9,                0.04396,                0.66667,                      1,                0.05497,               0.028548,              0.0075481,              0.0075481
                     10,                0.02855,                0.66667,                      1,                0.05601,               0.021269,              0.0082693,              0.0082693
                     11,                0.02557,                0.66667,                      1,                0.05379,               0.013983,              0.0089827,              0.0089827
                     12,                0.02684,                0.66667,                      1,                0.05044,               0.009406,               0.009406,               0.009406
                     13,                0.01886,                0.66667,                      1,                  0.048,               0.009406,               0.009406,               0.009406
                     14,                0.02151,                0.83333,                      1,                0.04123,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.0199,                0.66667,                      1,                0.04944,               0.009307,               0.009307,               0.009307
                     16,                0.01447,                0.66667,                      1,                0.05388,              0.0092575,              0.0092575,              0.0092575
                     17,                  0.012,                0.66667,                      1,                0.05541,               0.009208,               0.009208,               0.009208
                     18,                 0.0274,                0.66667,                      1,                0.06141,              0.0091585,              0.0091585,              0.0091585
                     19,                0.02583,                0.83333,                      1,                0.04392,               0.009109,               0.009109,               0.009109
                     20,                0.02642,                0.83333,                      1,                0.04174,              0.0090595,              0.0090595,              0.0090595
                     21,                0.00296,                      1,                      1,                0.03466,                0.00901,                0.00901,                0.00901
