                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.13475,                    0.5,                      1,                0.06498,                 0.0982,                 0.0002,                 0.0002
                      1,                0.13139,                    0.5,                      1,                0.06498,               0.095451,              0.0004505,              0.0004505
                      2,                0.12896,                    0.5,                      1,                0.06498,               0.092642,              0.0006416,              0.0006416
                      3,                0.11701,                    0.5,                      1,                0.06499,               0.089773,              0.0007733,              0.0007733
                      4,                0.11169,                    0.5,                      1,                0.06502,               0.086846,              0.0008456,              0.0008456
                      5,                0.10578,                    0.5,                      1,                0.06504,               0.083859,              0.0008585,              0.0008585
                      6,                0.09992,                    0.5,                      1,                0.06513,               0.080812,               0.000812,               0.000812
                      7,                0.09964,                    0.5,                      1,                0.06519,               0.077706,              0.0007061,              0.0007061
                      8,                0.09517,                    0.5,                      1,                0.06535,               0.074541,              0.0005408,              0.0005408
                      9,                0.10627,                    0.5,                      1,                0.06544,               0.071316,              0.0003161,              0.0003161
