                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17451,                    0.5,                      1,                0.06498,                 0.0937,                 0.0007,                 0.0007
                      1,                 0.1575,                    0.5,                      1,                0.06502,               0.086351,              0.0013515,              0.0013515
                      2,                0.13584,                    0.5,                      1,                0.06525,               0.078845,              0.0018446,              0.0018446
                      3,                0.12112,                    0.5,                      1,                0.06585,               0.071179,              0.0021793,              0.0021793
                      4,                0.12039,                    0.5,                      1,                0.06678,               0.063356,              0.0023556,              0.0023556
                      5,                0.09912,                    0.5,                      1,                0.06693,               0.055374,              0.0023735,              0.0023735
                      6,                0.09936,                    0.5,                      1,                0.06287,               0.047233,               0.002233,               0.002233
                      7,                0.09127,                0.66667,                      1,                0.05509,               0.038934,              0.0019341,              0.0019341
                      8,                 0.1013,                0.66667,                      1,                0.05203,               0.030477,              0.0014768,              0.0014768
                      9,                0.08254,                0.66667,                      1,                0.05128,               0.021861,              0.0008611,              0.0008611
